country,code,poorest,poorer,middle,richer,richest
Afghanistan,AFG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Albania,ALB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Algeria,DZA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Angola,AGO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Argentina,ARG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Armenia,ARM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Azerbaijan,AZE,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bangladesh,BGD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Belarus,BLR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Belize,BLZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Benin,BEN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bhutan,BTN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bolivia,BOL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bosnia and Herzegovina,BIH,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Botswana,BWA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Brazil,BRA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Bulgaria,BGR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Burkina Faso,BFA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Burundi,BDI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cabo Verde,CPV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cambodia,KHM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cameroon,CMR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Central African Republic,CAF,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Chad,TCD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
China,CHN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Colombia,COL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Comoros,COM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Congo,COG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Congo, Democratic Republic of the",COD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Costa Rica,CRI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Côte d'Ivoire,CIV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Cuba,CUB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Djibouti,DJI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Dominica,DMA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Dominican Republic,DOM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ecuador,ECU,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Egypt,EGY,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
El Salvador,SLV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Equatorial Guinea,GNQ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Eritrea,ERI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ethiopia,ETH,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Fiji,FJI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Gabon,GAB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Gambia,GMB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Georgia,GEO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ghana,GHA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Grenada,GRD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Guatemala,GTM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Guinea,GIN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Guinea-Bissau,GNB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Guyana,GUY,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Haiti,HTI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Honduras,HND,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
India,IND,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Indonesia,IDN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Iran,IRN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Iraq,IRQ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Jamaica,JAM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Jordan,JOR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Kazakhstan,KAZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Kenya,KEN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Kiribati,KIR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Korea, Democratic People’s Republic of",PRK,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Kyrgyz Republic,KGZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Lao People’s Democratic Republic,LAO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Lebanon,LBN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Lesotho,LSO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Liberia,LBR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Libya,LBY,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Macedonia, North",MKD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Madagascar,MDG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Malawi,MWI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Malaysia,MYS,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Maldives,MDV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mali,MLI,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Marshall Islands,MHL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mauritania,MRT,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mauritius,MUS,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mexico,MEX,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Micronesia,FSM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Moldova, Republic of",MDA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mongolia,MNG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Montenegro,MNE,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Morocco,MAR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Mozambique,MOZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Myanmar,MMR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Namibia,NAM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Nepal,NPL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Nicaragua,NIC,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Niger,NER,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Nigeria,NGA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Pakistan,PAK,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Palau,PLW,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Panama,PAN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Papua New Guinea,PNG,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Paraguay,PRY,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Peru,PER,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Philippines,PHL,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Romania,ROU,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Russian Federation,RUS,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Rwanda,RWA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Samoa,WSM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
São Tomé and Principe,STP,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Senegal,SEN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Serbia,SRB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Sierra Leone,SLE,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Solomon Islands,SLB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Somalia,SOM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
South Africa,ZAF,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
South Sudan,SSD,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Sri Lanka,LKA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
St. Lucia,LCA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
St. Vincent and the Grenadines,VCT,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Sudan,SDN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Suriname,SUR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Swaziland,SWZ,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Syrian Arab Republic,SYR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Tajikistan,TJK,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
"Tanzania, United Republic of",TZA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Thailand,THA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Timor-Leste,TLS,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Togo,TGO,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Tonga,TON,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Tunisia,TUN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Turkey,TUR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Turkmenistan,TKM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Tuvalu,TUV,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Uganda,UGA,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Ukraine,UKR,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Uzbekistan,UZB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Vanuatu,VUT,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Venezuela,VEN,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Vietnam,VNM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Yemen,YEM,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Zambia,ZMB,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
Zimbabwe,ZWE,0.267846508,0.227109826,0.200280927,0.166631588,0.138131151
