year,country,iso3c,GDP,GDP_2015usd
2019,Afghanistan,AFG,22571016100,21118462797
2019,Albania,ALB,13321136550,12967692915
2019,Angola,AGO,64137420719,83138725241
2019,Argentina,ARG,5.53795E+11,5.71305E+11
2019,Armenia,ARM,12797694502,12867495686
2019,Azerbaijan,AZE,55126607685,53612524596
2019,Bangladesh,BGD,2.71091E+11,2.57869E+11
2019,Belarus,BLR,53401617148,59013474193
2019,Benin,BEN,14908698419,14179807327
2019,Bhutan,BTN,2445706181,2470944512
2019,Bolivia,BOL,38553205713,38193230080
2019,Botswana,BWA,15539410062,16244208065
2019,Brazil,BRA,1.43704E+12,1.81968E+12
2019,Bulgaria,BGR,59184479892,57443866470
2019,Burkina Faso,BFA,15558439143,15001629028
2019,Burundi,BDI,3317385074,3207836474
2019,Cambodia,KHM,24269642294,23760061873
2019,Cameroon,CMR,39105523083,37502066705
2019,Central African Republic,CAF,2069147792,1986909339
2019,Chad,TCD,11193205433,10526057266
2019,China,CHN,1.46541E+13,1.42963E+13
2019,Colombia,COL,2.92579E+11,3.21394E+11
2019,Costa Rica,CRI,65114162704,64382490583
2019,Cote d'Ivoire,CIV,62397919031,59861589343
2019,Cuba,CUB,96042506935,91019611431
2019,Dominican Republic,DOM,84090400192,89287391493
2019,Ecuador,ECU,1.01358E+11,1.01702E+11
2019,"Egypt, Arab Rep.",EGY,4.47729E+11,3.98037E+11
2019,El Salvador,SLV,25677090415,25772439480
2019,Equatorial Guinea,GNQ,10722531844,10051326743
2019,Eritrea,ERI,1346609278,2252986366
2019,Eswatini,SWZ,4011243435,4401077166
2019,Ethiopia,ETH,89792499660,89640020508
2019,Fiji,FJI,5068022952,5223164681
2019,Gabon,GAB,15948570629,15460241609
2019,"Gambia, The",GMB,1727368408,1677527608
2019,Georgia,GEO,16933914459,17757903230
2019,Ghana,GHA,63999385098,62465709576
2019,Guatemala,GTM,72668843291,70634110392
2019,Guinea,GIN,12823299137,12075308020
2019,Honduras,HND,25130109810,24360344498
2019,India,IND,2.71E+12,2.68575E+12
2019,Indonesia,IDN,1.03876E+12,1.04933E+12
2019,"Iran, Islamic Rep.",IRN,6.00595E+11,4.40183E+11
2019,Iraq,IRQ,2.01222E+11,2.01765E+11
2019,Jordan,JOR,41921351592,41755867661
2019,Kazakhstan,KAZ,2.08968E+11,2.11107E+11
2019,Kenya,KEN,84905783574,84264944512
2019,Kyrgyz Republic,KGZ,7598635038,7920624103
2019,Lao PDR,LAO,18697900406,18491845636
2019,Lesotho,LSO,2205050512,2394844036
2019,Liberia,LBR,3655970149,3211334058
2019,Libya,LBY,62667179859,60950218438
2019,Madagascar,MDG,13123414821,13185664520
2019,Malawi,MWI,8080217066,7477443338
2019,Malaysia,MYS,3.55308E+11,3.64693E+11
2019,Maldives,MDV,5328188710,5414217823
2019,Mali,MLI,16403593774,16028741131
2019,Mauritania,MRT,7401760345,7336141342
2019,Mexico,MEX,1.16135E+12,1.25273E+12
2019,Moldova,MDA,9693721364,9155470178
2019,Mongolia,MNG,13918830113,14174566300
2019,Montenegro,MNE,4853947415,4779775343
2019,Morocco,MAR,1.14966E+11,1.12827E+11
2019,Mozambique,MOZ,16887510197,18183602353
2019,Myanmar,MMR,97228439301,83686990310
2019,Namibia,NAM,10079742682,11236876130
2019,Nepal,NPL,30912883345,30605291409
2019,Nicaragua,NIC,12976961818,12977301361
2019,Niger,NER,12791502845,12212118178
2019,Nigeria,NGA,4.87197E+11,5.02942E+11
2019,Pakistan,PAK,3.33058E+11,3.24412E+11
2019,Papua New Guinea,PNG,25381392231,24719859156
2019,Paraguay,PRY,38153373970,40676916123
2019,Peru,PER,2.0907E+11,2.1502E+11
2019,Philippines,PHL,4.24461E+11,3.96225E+11
2019,Russian Federation,RUS,1.35659E+12,1.46155E+12
2019,Rwanda,RWA,11484736996,11182897052
2019,Sao Tome and Principe,STP,402020355,359752972
2019,Senegal,SEN,23546300570,22560634244
2019,Serbia,SRB,47271060302,45615675380
2019,Sierra Leone,SLE,5279102527,5076711739
2019,Solomon Islands,SLB,1571320387,1533574545
2019,South Africa,ZAF,3.25183E+11,3.58712E+11
2019,South Sudan,SSD,10487637089,11997800760
2019,Sri Lanka,LKA,92831087867,92186336710
2019,Sudan,SDN,1.88115E+11,84304404771
2019,Suriname,SUR,5676217222,5252729242
2019,Syrian Arab Republic,SYR,14316330180,16752517978
2019,Tajikistan,TJK,10972272449,10943642460
2019,Tanzania,TZA,62141123780,60318543761
2019,Thailand,THA,4.52891E+11,4.6038E+11
2019,Timor-Leste,TLS,1906002948,1896767581
2019,Togo,TGO,5284748099,5098275352
2019,Tunisia,TUN,54241994633,49212159863
2019,Turkey,TUR,9.06625E+11,9.97437E+11
2019,Uganda,UGA,40536460166,39600047204
2019,Ukraine,UKR,1.00417E+11,1.01944E+11
2019,Uzbekistan,UZB,1.05301E+11,1.06161E+11
2019,Vanuatu,VUT,908127867,864184647
2019,Venezuela,VEN,2.8848E+11,4.82359E+11
2019,Vietnam,VNM,3.21455E+11,3.13557E+11
2019,"Yemen, Rep.",YEM,30446067962,37304191280
2019,Zambia,ZMB,19590604385,24089861649
2019,Zimbabwe,ZWE,20720841373,20720841373
2020,Afghanistan,AFG,20621946476,20621946476
2020,Albania,ALB,12516205780,12516205780
2020,Angola,AGO,78566095350,78566095350
2020,Argentina,ARG,5.14772E+11,5.14772E+11
2020,Armenia,ARM,11915301005,11915301005
2020,Azerbaijan,AZE,51307185984,51307185984
2020,Bangladesh,BGD,2.6676E+11,2.6676E+11
2020,Belarus,BLR,58482352925,58482352925
2020,Benin,BEN,14725558673,14725558673
2020,Bhutan,BTN,2221963713,2221963713
2020,Bolivia,BOL,34855949803,34855949803
2020,Botswana,BWA,14826671812,14826671812
2020,Brazil,BRA,1.7491E+12,1.7491E+12
2020,Bulgaria,BGR,54923717978,54923717978
2020,Burkina Faso,BFA,15291209207,15291209207
2020,Burundi,BDI,3218331132,3218331132
2020,Cambodia,KHM,23024448759,23024448759
2020,Cameroon,CMR,37686544900,37686544900
2020,Central African Republic,CAF,2004791523,2004791523
2020,Chad,TCD,10357639641,10357639641
2020,China,CHN,1.46165E+13,1.46165E+13
2020,Colombia,COL,2.98742E+11,2.98742E+11
2020,Costa Rica,CRI,61774415011,61774415011
2020,Cote d'Ivoire,CIV,61033878289,61033878289
2020,Cuba,CUB,81054474018,81054474018
2020,Dominican Republic,DOM,83287065055,83287065055
2020,Ecuador,ECU,93781977160,93781977160
2020,"Egypt, Arab Rep.",EGY,4.12246E+11,4.12246E+11
2020,El Salvador,SLV,23560825997,23560825997
2020,Equatorial Guinea,GNQ,9625001914,9625001914
2020,Eritrea,ERI,1411809929,2252986366
2020,Eswatini,SWZ,4319634145,4319634145
2020,Ethiopia,ETH,95071785238,95071785238
2020,Fiji,FJI,4431812577,4431812577
2020,Gabon,GAB,15176119329,15176119329
2020,"Gambia, The",GMB,1674141973,1674141973
2020,Georgia,GEO,16557390869,16557390869
2020,Ghana,GHA,62786746874,62786746874
2020,Guatemala,GTM,69560945138,69560945138
2020,Guinea,GIN,12635273566,12635273566
2020,Honduras,HND,22176498034,22176498034
2020,India,IND,2.50859E+12,2.50859E+12
2020,Indonesia,IDN,1.02766E+12,1.02766E+12
2020,"Iran, Islamic Rep.",IRN,4.47938E+11,4.47938E+11
2020,Iraq,IRQ,1.78917E+11,1.78917E+11
2020,Jordan,JOR,41108073617,41108073617
2020,Kazakhstan,KAZ,2.05829E+11,2.05829E+11
2020,Kenya,KEN,84054150946,84054150946
2020,Kyrgyz Republic,KGZ,7255421236,7255421236
2020,Lao PDR,LAO,18584865506,18584865506
2020,Lesotho,LSO,2213872052,2213872052
2020,Liberia,LBR,3115556272,3115556272
2020,Libya,LBY,46364963765,46364963765
2020,Madagascar,MDG,12244127641,12244127641
2020,Malawi,MWI,7537262760,7537262760
2020,Malaysia,MYS,3.44099E+11,3.44099E+11
2020,Maldives,MDV,3600460153,3600460153
2020,Mali,MLI,15830713977,15830713977
2020,Mauritania,MRT,7206781562,7206781562
2020,Mexico,MEX,1.15042E+12,1.15042E+12
2020,Moldova,MDA,8479779802,8479779802
2020,Mongolia,MNG,13528524725,13528524725
2020,Montenegro,MNE,4048140209,4048140209
2020,Morocco,MAR,1.05726E+11,1.05726E+11
2020,Mozambique,MOZ,17959233845,17959233845
2020,Myanmar,MMR,86343026585,86343026585
2020,Namibia,NAM,10352990575,10352990575
2020,Nepal,NPL,29880062111,29880062111
2020,Nicaragua,NIC,12745084493,12745084493
2020,Niger,NER,12649312791,12649312791
2020,Nigeria,NGA,4.93918E+11,4.93918E+11
2020,Pakistan,PAK,3.20099E+11,3.20099E+11
2020,Papua New Guinea,PNG,23854664089,23854664089
2020,Paraguay,PRY,40343452708,40343452708
2020,Peru,PER,1.9147E+11,1.9147E+11
2020,Philippines,PHL,3.58511E+11,3.58511E+11
2020,Russian Federation,RUS,1.42233E+12,1.42233E+12
2020,Rwanda,RWA,10807279944,10807279944
2020,Sao Tome and Principe,STP,370868352,370868352
2020,Senegal,SEN,22859676611,22859676611
2020,Serbia,SRB,45184791299,45184791299
2020,Sierra Leone,SLE,4976753934,4976753934
2020,Solomon Islands,SLB,1467328739,1467328739
2020,South Africa,ZAF,3.3564E+11,3.3564E+11
2020,South Sudan,SSD,12383192892,11997800760
2020,Sri Lanka,LKA,88853624203,88853624203
2020,Sudan,SDN,81244318743,81244318743
2020,Suriname,SUR,4417127638,4417127638
2020,Syrian Arab Republic,SYR,14544864300,16752517978
2020,Tajikistan,TJK,11425168167,11425168167
2020,Tanzania,TZA,61522709092,61522709092
2020,Thailand,THA,4.31857E+11,4.31857E+11
2020,Timor-Leste,TLS,2093497569,2093497569
2020,Togo,TGO,5187639195,5187639195
2020,Tunisia,TUN,44913489643,44913489643
2020,Turkey,TUR,1.01533E+12,1.01533E+12
2020,Uganda,UGA,40768765940,40768765940
2020,Ukraine,UKR,98118346734,98118346734
2020,Uzbekistan,UZB,1.08164E+11,1.08164E+11
2020,Vanuatu,VUT,817502075,817502075
2020,Venezuela,VEN,2.94284E+11,4.82359E+11
2020,Vietnam,VNM,3.22775E+11,3.22775E+11
2020,"Yemen, Rep.",YEM,34133335016,34133335016
2020,Zambia,ZMB,23418945737,23418945737
2020,Zimbabwe,ZWE,19426048166,19426048166
